id_departamento,nombre,id_provincia
84,SUSQUES,38
63,SAN PEDRO,38
21,ESCALANTE,26
35,FUTALEUFÚ,26
112,SAN PEDRO,54
105,TELSEN,26
14,CUSHAMEN,26
1,COMUNA 1,2
3,COMUNA 3,2
182,SARMIENTO,22
105,MARACÓ,42
70,BARADERO,6
84,CAPITAL,90
21,CHICLIGASTA,90
140,SAN FERNANDO,22
36,12 DE OCTUBRE,22
35,CONFLUENCIA,58
28,CAPITAL,14
35,CERRILLOS ,14
126,1º DE MAYO,22
14,BERMEJO,22
39,2 DE ABRIL,22
119,SAN LORENZO,82
84,ROSARIO,82
105,9 DE JULIO,22
28,CHACABUCO,22
77,MALARGÜE,74
42,GOBERNADOR DUPUY,74
56,GRL. JOSÉ DE SAN MARTÍN,14
63,GENERAL GÜEMES,22
119,MOLINOS,14
98,VINCHINA,46
91,PUNILLA,14
140,SAN JUSTO,14
14,CAPITAL,46
77,RAWSON,26
7,BIEDMA,26
658,QUILMES,6
760,SAN MIGUEL,6
749,SAN FERNANDO,6
119,QUEMÚ QUEMÚ,42
2,COMUNA 2,2
21,CAPITAL,42
63,GUACHIPAS,14
14,BELGRANO,74
70,IRUYA,14
35,GENERAL PEDERNERA,74
98,PICÚN LEUFÚ,58
113,ZAPALA ,58
112,ZAPALA ,58
105,PICUNCHES,58
91,PEHUENCHES,58
56,LÁCAR,58
77,GENERAL TABOADA,22
665,RAMALLO,6
371,GENERAL SAN MARTÍN,6
861,VICENTE LÓPEZ,6
77,SANTA CATALINA,38
112,YAVI,38
98,MAYOR LUIS J. FONTANA,22
49,JUNÍN,74
7,AYACUCHO,74
28,CAPITAL,54
42,EMPEDRADO,18
21,CAPITAL,18
49,GENERAL GÜEMES,14
14,FORMOSA,34
49,GUALEGUAY,30
260,ESTEBAN ECHEVERRÍA,6
441,LA PLATA,6
126,ORÁN,14
133,RIVADAVIA,14
58,QUILMES,6
35,AVELLANEDA,6
105,LORETO,22
42,GAIMAN,26
7,ALBARDÓN,70
21,DR. MANUEL BELGRANO,38
126,25 DE MAYO,70
13,COMUNA 13,2
91,BERAZATEGUI,6
63,9 DE JULIO,70
14,ANGACO,70
126,CAMPANA,6
56,JÁCHAL,70
105,SARMIENTO,70
35,CAUCETE,70
77,RAWSON,70
35,BANDA,22
252,ESCOBAR,6
42,GENERAL SAN MARTÍN,14
147,SANTA MARÍA,14
154,SAN CARLOS,14
270,EZEIZA,6
274,FLORENCIO VARELA,6
91,SAN MARTÍN,70
5,COMUNA 5,2
77,NOGOYÁ,30
105,VICTORIA,30
113,VILLAGUAY,30
21,COMANDANTE FERNÁNDEZ,22
49,GENERAL OBLIGADO,82
126,OJO DE AGUA,22
84,LA CANDELARIA,14
112,METÁN,14
105,TINOGASTA,10
112,VALLE VIEJO,10
56,LA CAPITAL,74
42,CHIMBAS,70
175,SAN MARTÍN,22
168,SALAVINA,22
140,QUEBRACHOS,22
21,CAFAYATE,14
49,CAPITAL,10
63,LA CAPITAL,82
126,SALADAS,18
133,SAN COSME,18
140,SAN LUIS DEL PALMAR,18
14,DESEADO,78
119,VALLE FÉRTIL,70
28,CAPITAL,70
84,RIVADAVIA,74
77,LIBERTAD,22
105,LOS ANDES,14
49,IGLESIA,70
21,CALINGASTA,70
70,POCITO,70
7,ANTA,14
84,RIVADAVIA,70
14,CAPITAL,14
638,PILAR,6
147,ROSARIO DE LERMA,14
14,EL CARMEN,38
112,SAN JUSTO,82
434,LANÚS,6
70,FIGUEROA,22
21,ATAMISQUI,22
161,ROBLES,22
14,ALBERDI,22
490,LOMAS DE ZAMORA,6
49,GASTRE,26
42,CHOS MALAL,58
63,LONCOPUÉ,58
84,PRESIDENTE ROQUE SÁENZ PEÑA,14
70,LOS LAGOS,58
63,MARCOS JUÁREZ,14
77,MINAS,58
7,CALAMUCHITA,14
84,ÑORQUÍN,58
98,RÍO CUARTO,14
77,SAN ANTONIO,26
